"fYear","month","polygon","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,2,"ecomon_20",80,140.812,53.32,42.219,258.724,0.001,0.001,0,0.004,0.508,0.123,0.22,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.812,53.32,42.219,258.724,0.001,0.001,0,0.004,0.508,0.123,0.22,0.766
1999,2,"ecomon_21",17,53.915,27.57,15.394,120.992,0.002,0.001,0,0.004,0.241,0.124,0.061,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.915,27.57,15.394,120.992,0.002,0.001,0,0.004,0.241,0.124,0.061,0.452
1999,2,"ecomon_22",38,199.57,145.306,13.614,542.307,0,0,0,0,0.161,0.209,0.006,0.784,67.353,42.176,14.638,201.207,0,0,0,0,1.362,1.111,0.232,4.811,266.923,144.739,94.268,606.069,0,0,0,0,1.523,1.219,0.292,5.332
1999,2,"ecomon_23",151,469.327,100.551,66.316,703.115,0,0,0,0,1.197,0.489,0.067,2.378,22.575,16.637,0.01,58.21,0,0,0,0,0.213,0.297,0,1.231,477.55,102.862,74.348,703.115,0,0,0,0,1.275,0.523,0.162,2.899
1999,2,"ecomon_24",82,165.404,77.205,42.725,355.409,0,0,0,0.002,0.357,0.142,0.118,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.404,77.205,42.725,355.409,0,0,0,0.002,0.357,0.142,0.118,0.665
1999,2,"ecomon_25",70,35.775,27.616,1.308,111.217,0.002,0.002,0,0.011,0.071,0.052,0.002,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.775,27.616,1.308,111.217,0.002,0.002,0,0.011,0.071,0.052,0.002,0.205
1999,2,"ecomon_26",43,243.998,124.697,61.186,500.887,0,0,0,0,0.239,0.308,0.003,1.306,66.684,32.179,16.326,181.668,0,0,0,0,3.32,2.283,0.649,9.785,310.681,141.019,78.587,644.605,0,0,0,0,3.559,2.296,0.672,9.827
1999,2,"ecomon_27",126,342.633,70.224,200.479,473.441,0,0,0,0,1.755,0.764,0.404,3.444,18.743,13.289,0.312,48.889,0,0,0,0,0.307,0.4,0.001,1.954,351.261,77.398,200.479,490.854,0,0,0,0,1.896,0.802,0.572,3.651
1999,2,"ecomon_28",24,581.227,246.74,35.252,1140.728,0.074,0.118,0,0.413,6.117,8.132,0.171,31.501,558.1,444.286,56.797,1387.246,0.044,0.069,0,0.257,78.639,73.064,5.081,230.78,1139.327,422.888,525.255,2015.532,0.118,0.178,0,0.612,84.755,80.224,5.251,262.281
1999,2,"ecomon_29",157,447.146,123.375,255.932,1020.896,0.014,0.023,0,0.159,2.751,1.468,0.223,7.178,43.059,73.336,0.213,431.403,0.002,0.006,0,0.043,3.374,11.45,0.001,67.174,466.893,168.746,255.932,1343.785,0.015,0.027,0,0.176,4.298,7.823,0.959,68.603
1999,2,"ecomon_30",131,172.744,57.919,56.519,361.999,0.003,0.004,0,0.025,0.473,0.27,0.069,1.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.744,57.919,56.519,361.999,0.003,0.004,0,0.025,0.473,0.27,0.069,1.521
1999,2,"ecomon_31",67,178.898,80.851,45.547,365.64,0.01,0.009,0,0.035,0.462,0.362,0.038,1.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.898,80.851,45.547,365.64,0.01,0.009,0,0.035,0.462,0.362,0.038,1.502
1999,2,"ecomon_32",56,806.044,269.782,313.058,1180.596,0.148,0.16,0.006,0.774,2.175,1.8,0.162,7.303,221.96,154.493,1.339,489.278,0.05,0.061,0,0.287,31.304,26.193,0.005,83.261,992.332,423.615,313.058,1655.218,0.189,0.217,0.006,1.062,28.447,25.3,1.053,83.498
1999,2,"ecomon_33",70,815.911,429.659,24.195,1626.452,0.006,0.012,0,0.065,1.933,1.416,0.024,5.687,68.383,47.649,2.156,174.399,0,0.001,0,0.007,0.896,1.303,0.003,5.655,840.334,461.454,24.195,1748.03,0.006,0.012,0,0.072,2.253,2.07,0.024,11.342
1999,2,"ecomon_34",136,2326.353,330.69,1461.283,2767.306,0.098,0.121,0.001,0.579,0.834,0.598,0.142,2.938,687.986,240.329,203.904,1132.176,0.034,0.047,0,0.238,35.241,18.843,4.849,81.665,3014.339,557.579,1665.187,3880.465,0.132,0.167,0.002,0.817,36.075,18.386,7.508,82.445
1999,2,"ecomon_35",39,528.798,324.932,98.75,1403.519,0.249,0.161,0.086,0.692,2.217,2.156,0.173,11.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.798,324.932,98.75,1403.519,0.249,0.161,0.086,0.692,2.217,2.156,0.173,11.002
1999,2,"ecomon_36",93,1886.539,663.313,443.169,3360.128,0.379,0.303,0.092,1.217,5.343,3.599,0.21,13.127,386.704,282.625,10.472,1021.086,0.091,0.094,0.001,0.343,26.638,24.874,0.017,79.153,2152.658,897.487,443.169,3838.96,0.442,0.386,0.092,1.561,23.674,22.194,0.517,79.425
